id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
15259,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,ADIDAS Originals Women Top Ten low Sleek White Casual Shoes
25420,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2013.0,Casual,Nike Men Lite Force Black & White Shoes
54739,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Vans Men Grey Del Norte Canvas Shoes
6497,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men's Leather Brown Shoe
15502,Women,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Carlton London Women Casual Brown Casual Shoes
35465,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2012.0,Casual,Franco Leone Men Blue Shoes
26664,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Puma Men Metamostro Black Shoes
38544,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2012.0,Casual,Puma Men Black Suede Archive Eco Shoes
7041,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Numero Uno Black Men's Shoe
36476,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2013.0,Casual,Spinn Men Agile Black Shoes
35677,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2014.0,Casual,U.S. Polo Assn. Men Brown Leather Casual Shoes
17033,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013.0,Casual,Gas Men Europa Casual Shoes
15512,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Rockport Men Slatkin Brown Casual Shoes
44746,Men,Footwear,Shoes,Casual Shoes,Olive,Summer,2012.0,Casual,Globalite Men Olive Sparta Shoes
25452,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Nike Men Prowl White Casual Shoes
46117,Unisex,Footwear,Shoes,Casual Shoes,Red,Summer,2012.0,Casual,ADIDAS Unisex Red Neo Shell Comic Shoes
9130,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Puma Men Osu NM Grey Casual Shoes
7267,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Rockport Men Brown Leather Casual Shoes
44503,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Gliders Women Grey & Orange Shoes
43878,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Puma Men Brown Terrae Mid Africa Shoes
11816,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Playboy Men Casual White Casual Shoes
38770,Men,Footwear,Shoes,Casual Shoes,Olive,Summer,2012.0,Casual,Woodland Men Olive Shoes
35660,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,U.S. Polo Assn. Men Black Shoes
23855,Men,Footwear,Shoes,Casual Shoes,Yellow,Summer,2011.0,Casual,ADIDAS Men Yellow Color Blast Casual Shoes
21079,Men,Footwear,Shoes,Casual Shoes,Brown,Spring,2012.0,Casual,Clarks Men Supa Step Brown Casual Shoe
24302,Unisex,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Converse Unisex Blue Casual Shoes
4133,Men,Footwear,Shoes,Casual Shoes,White,Winter,2015.0,Casual,Skechers Men's Sparta White Shoe
32952,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,ADIDAS Neo Men Court Sequence Black Shoes
55785,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Spring,2014.0,Casual,Converse Men Navy Casual Shoes
13066,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Numero Uno Men White Casual Shoes
20707,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2012.0,Casual,Buckaroo Men Melania Black Casual Shoes
20716,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Smart Casual,Red Tape Men Brown Leather Casual Shoes
35670,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Spring,2013.0,Casual,U.S. Polo Assn. Men Navy Blue Shoes
15220,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,ADIDAS Originals Men Adi T Tennis Brown Casual Shoes
22251,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,ID Men Black Casual Shoes
4019,Unisex,Footwear,Shoes,Casual Shoes,Blue,Summer,2011.0,Casual,ADIDAS Unisex Check Can MW Blue Shoe
30258,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men Brown Shoes
11842,Men,Footwear,Shoes,Casual Shoes,Beige,Summer,2013.0,Casual,Playboy Men Casual Beige Casual Shoes
50753,Men,Footwear,Shoes,Casual Shoes,Mushroom Brown,Winter,2018.0,Casual,Red Chief Men Mushroom Brown Shoes
11951,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Ganuchi Men Blue Shoes
33689,Men,Footwear,Shoes,Casual Shoes,White,Winter,2012.0,Casual,Cobblerz Men White & Blue Casual Shoes
43379,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Reebok Men White Mamba Casual Shoes
22819,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2016.0,Casual,Woodland Men Brown Casual Shoes
2540,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2010.0,Casual,Numero Uno Men's Casual Black Leatherette Shoe
22237,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2011.0,Casual,ID Men Red Shoes
35673,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,U.S. Polo Assn. Men Navy Blue Shoes
24254,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Numero Uno Men White Casual Shoes
35531,Girls,Footwear,Shoes,Casual Shoes,Red,Winter,2008.0,Casual,Enroute Teens Girls Red Ballet Flats
21744,Unisex,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Vans Unisex Classic Slip-On Black Casual Shoe
59944,Men,Footwear,Shoes,Casual Shoes,Cream,Spring,2013.0,Casual,Vans Men Black & Cream Casual Shoes
49381,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Vans Men Navy Blue Versa Casual Shoes
34747,Women,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Puma Women Soleil Cat White Shoes
22826,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Woodland Men Brown Casual Shoes
3695,Men,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,Lotto Men's Rio Velcro White Indigo Shoe
